OFFSETS,LEFT_X,LEFT_Y,LEFT_HEADING,CENTER_X,CENTER_Y,CENTER_HEADING,RIGHT_X,RIGHT_Y,RIGHT_HEADING
SPIKE,29.75,43.25,45,22.75,32.25,45,10.75,38.25,15
STACK_1,-62.1,23,180,-64,23,180,-62.1,23,180
STACK_2,-62.1,26,180,-72,24,180,-62.1,26,180
TAG_1,53.2,34.5,180,53.2,37,180,53.2,32.25,180
TAG_2,42,35.25,0,42,40,0,42,35.25,0
TAG_3,34,35.25,0,34,43,0,34,35.25,0
FRONT_TRUSS_1,-20,17.5,0,-20,17.5,0,-20,17.5,0
FRONT_TRUSS_2,-20,22,0,-20,21,0,-20,22,0
FRONT_TRUSS_BACK_1,-20,17.5,180,-20,17.5,180,-20,17.5,180
FRONT_TRUSS_BACK_2,-20,22,180,-20,21,180,-20,22,180
END_TRUSS_1,20,17.5,0,20,17.5,0,20,17.5,0
END_TRUSS_2,20,22,0,20,22,0,20,22,0
END_TRUSS_BACK_1,20,17.5,180,20,17.5,180,20,17.5,180
END_TRUSS_BACK_2,20,22,180,20,22,180,20,22,180
PARK,40,25,270,40,25,270,40,25,270
