OFFSETS,LEFT_X,LEFT_Y,LEFT_HEADING,CENTER_X,CENTER_Y,CENTER_HEADING,RIGHT_X,RIGHT_Y,RIGHT_HEADING
SPIKE,-35.25,31.25,180,-40.25,30.25,135,-33.75,32.25,180
STACK_1,-62.1,11.75,180,-62.1,11.75,180,-62.1,11.75,180
STACK_2,-62.1,11.75,180,-62.1,11.75,180,-62.1,11.75,180
STACK_3,-62.1,11.75,180,-62.1,11.75,180,-62.1,11.75,180
TAG_1,51.75,35.25,0,51.75,35.25,0,51.75,35.25,0
TAG_2,51.75,35.25,0,51.75,35.25,0,51.75,35.25,0
TAG_3,51.75,35.25,0,51.75,35.25,0,51.75,35.25,0
FRONT_TRUSS_1,35.25,11.75,0,35.25,11.75,0,35.25,11.75,0
FRONT_TRUSS_2,35.25,11.75,0,35.25,11.75,0,35.25,11.75,0
FRONT_TRUSS_3,35.25,11.75,0,35.25,11.75,0,35.25,11.75,0
FRONT_TRUSS_BACK_1,35.25,11.75,180,35.25,11.75,180,35.25,11.75,180
FRONT_TRUSS_BACK_2,35.25,11.75,180,35.25,11.75,180,35.25,11.75,180
END_TRUSS_1,35.25,11.75,0,35.25,11.75,0,35.25,11.75,0
END_TRUSS_2,35.25,11.75,0,35.25,11.75,0,35.25,11.75,0
END_TRUSS_3,35.25,11.75,0,35.25,11.75,0,35.25,11.75,0
END_TRUSS_BACK_1,35.25,11.75,180,35.25,11.75,180,35.25,11.75,180
END_TRUSS_BACK_2,35.25,11.75,180,35.25,11.75,180,35.25,11.75,180
PARK,51.75,14,270,51.75,14,270,51.75,14,270
