OFFSETS,LEFT_X,LEFT_Y,LEFT_HEADING,CENTER_X,CENTER_Y,CENTER_HEADING,RIGHT_X,RIGHT_Y,RIGHT_HEADING
SPIKE,-33.75,32.25,180,-40.25,30.25,135,-35.25,31.25,180
STACK_1,-59,30,180,-59,30,180,-59,30,180
STACK_2,-57.4,30,180,-57.4,30,180,-57.4,30,180
STACK_3,-62,30,180,-62,30,180,-62,30,180
TAG_1,55,33.2,0,55,33.2,0,55,33.2,0
TAG_2,54,33.2,0,54,33.2,0,54,33.2,0
TAG_3,50,36.5,0,50,36.5,0,50,36.5,0
FRONT_TRUSS_1,10,63,0,10,63,0,10,63,0
FRONT_TRUSS_2,10,63,0,10,63,0,10,63,0
FRONT_TRUSS_3,10,63,0,10,63,0,10,63,0
FRONT_TRUSS_BACK_1,10,63,180,10,63,180,10,63,180
FRONT_TRUSS_BACK_2,10,63,180,10,63,180,10,63,180
END_TRUSS_1,10.1,63,0,10.1,63,0,10.1,63,0
END_TRUSS_2,10.1,63,0,10.1,63,0,10.1,63,0
END_TRUSS_3,10.1,63,0,10.1,63,0,10.1,63,0
END_TRUSS_BACK_1,10.1,63,180,10.1,63,180,10.1,63,180
END_TRUSS_BACK_2,10.1,63,180,10.1,63,180,10.1,63,180
PARK,51.75,14,270,51.75,14,270,51.75,14,270
